ArbitrageEntry(bid=PriceVolume(price=26.8271, volume=1.54), ask=PriceVolume(price=26.827, volume=1.54), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:39')
ArbitrageEntry(bid=PriceVolume(price=26.8271, volume=1.54), ask=PriceVolume(price=26.827, volume=1.54), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:39')
ArbitrageEntry(bid=PriceVolume(price=26.8271, volume=1.54), ask=PriceVolume(price=26.827, volume=1.54), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:39')
ArbitrageEntry(bid=PriceVolume(price=26.8271, volume=1.54), ask=PriceVolume(price=26.827, volume=1.54), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:39')
ArbitrageEntry(bid=PriceVolume(price=26.8275, volume=0.173), ask=PriceVolume(price=26.824, volume=0.173), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:40')
ArbitrageEntry(bid=PriceVolume(price=26.8331, volume=1.343), ask=PriceVolume(price=26.833, volume=1.343), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:49')
ArbitrageEntry(bid=PriceVolume(price=26.837, volume=4.880000000000003), ask=PriceVolume(price=26.836, volume=4.880000000000003), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:57')
ArbitrageEntry(bid=PriceVolume(price=26.837, volume=4.880000000000003), ask=PriceVolume(price=26.836, volume=4.880000000000003), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:57')
ArbitrageEntry(bid=PriceVolume(price=26.837, volume=4.880000000000003), ask=PriceVolume(price=26.836, volume=4.880000000000003), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:57')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:58')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:58')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:58')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:58')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:58')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=22.3), ask=PriceVolume(price=26.835, volume=22.3), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:59')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=22.3), ask=PriceVolume(price=26.835, volume=22.3), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:59')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=22.3), ask=PriceVolume(price=26.835, volume=22.3), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:59')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=22.3), ask=PriceVolume(price=26.835, volume=22.3), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:59')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:00')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:00')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:00')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:00')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:01')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:01')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:01')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:01')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:02')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:02')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:02')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:02')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:02')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:03')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:03')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:03')
